14:05:59.804 Generated session secret
14:06:00.766 DB not initialized, please visit setup page - http://[your-server-host]:8080 to see instructions on how to initialize Trilium.
14:06:00.769 DB size: 4 KB
14:06:02.137 {
  "appVersion": "0.63.7",
  "dbVersion": 228,
  "nodeVersion": "v18.18.2",
  "syncVersion": 32,
  "buildDate": "2024-05-30T06:59:06+02:00",
  "buildRevision": "95d46b7ce7e0036eeb72b43e1815cc5c00dc214c",
  "dataDirectory": "/home/node/trilium-data",
  "clipperProtocolVersion": "1.0",
  "utcDateTime": "2026-06-05T14:06:00.400Z"
}
14:06:02.138 CPU model: Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz, logical cores: 2 freq: 2397 Mhz
14:06:02.139 Trusted reverse proxy: false
14:06:02.141 App HTTP server starting up at port 8080
14:06:02.152 Listening on port 8080
14:06:04.605 Slow 200 GET /api/health-check with 15 bytes took 10ms
14:06:34.877 200 GET /api/health-check with 15 bytes took 3ms
14:07:05.115 200 GET /api/health-check with 15 bytes took 3ms
14:07:35.441 200 GET /api/health-check with 15 bytes took 3ms
14:08:05.755 200 GET /api/health-check with 15 bytes took 2ms
14:08:36.045 200 GET /api/health-check with 15 bytes took 4ms
14:09:06.345 200 GET /api/health-check with 15 bytes took 3ms
14:09:36.599 200 GET /api/health-check with 15 bytes took 4ms
14:10:06.907 200 GET /api/health-check with 15 bytes took 3ms
14:10:37.231 200 GET /api/health-check with 15 bytes took 4ms
14:11:07.495 200 GET /api/health-check with 15 bytes took 1ms
14:11:37.807 200 GET /api/health-check with 15 bytes took 2ms
14:12:08.078 200 GET /api/health-check with 15 bytes took 2ms
14:12:38.395 200 GET /api/health-check with 15 bytes took 4ms
14:13:08.650 200 GET /api/health-check with 15 bytes took 6ms
14:13:38.912 200 GET /api/health-check with 15 bytes took 3ms
14:14:09.174 200 GET /api/health-check with 15 bytes took 2ms
14:14:39.466 200 GET /api/health-check with 15 bytes took 3ms
14:15:09.748 200 GET /api/health-check with 15 bytes took 3ms
14:15:40.014 200 GET /api/health-check with 15 bytes took 3ms
14:16:10.291 200 GET /api/health-check with 15 bytes took 3ms
14:16:40.551 200 GET /api/health-check with 15 bytes took 3ms
14:17:10.801 200 GET /api/health-check with 15 bytes took 4ms
14:17:41.025 200 GET /api/health-check with 15 bytes took 1ms
14:18:11.390 200 GET /api/health-check with 15 bytes took 3ms
14:18:41.752 200 GET /api/health-check with 15 bytes took 3ms
14:19:12.017 200 GET /api/health-check with 15 bytes took 2ms
14:19:42.312 200 GET /api/health-check with 15 bytes took 6ms
14:20:12.530 200 GET /api/health-check with 15 bytes took 1ms
14:20:42.842 200 GET /api/health-check with 15 bytes took 5ms
14:21:13.184 200 GET /api/health-check with 15 bytes took 5ms
14:21:43.456 200 GET /api/health-check with 15 bytes took 2ms
14:22:13.758 200 GET /api/health-check with 15 bytes took 3ms
14:22:44.038 200 GET /api/health-check with 15 bytes took 4ms
14:23:14.317 200 GET /api/health-check with 15 bytes took 1ms
14:23:44.591 200 GET /api/health-check with 15 bytes took 2ms
14:24:14.852 200 GET /api/health-check with 15 bytes took 1ms
14:24:45.155 200 GET /api/health-check with 15 bytes took 3ms
14:25:15.385 200 GET /api/health-check with 15 bytes took 1ms
14:25:45.620 200 GET /api/health-check with 15 bytes took 2ms
14:26:15.889 200 GET /api/health-check with 15 bytes took 8ms
14:26:46.162 200 GET /api/health-check with 15 bytes took 5ms
14:27:16.393 200 GET /api/health-check with 15 bytes took 1ms
14:27:46.676 200 GET /api/health-check with 15 bytes took 3ms
14:28:16.926 200 GET /api/health-check with 15 bytes took 3ms
14:28:47.149 200 GET /api/health-check with 15 bytes took 4ms
14:29:17.419 Slow 200 GET /api/health-check with 15 bytes took 10ms
14:29:47.694 200 GET /api/health-check with 15 bytes took 1ms
